Location_Description,Sample_Date_and_Time,what3words_location,Approx_River_Depth_at_Sample_Point_cm,Sampling_Depth_cm_estimated,Weather_Conditions,River_Flow,River_state,E_coli_count_Colonies_per_1ml,Phosphate_PO4_mgpL,Phosphate_P_mgpL,Nitrate_ppm,Ammonia_ppm,datasheet_date
"The Green, Grundisburgh",2.00 pm,NA,NA,NA,Sunny periods; dry,NA,NA,3,0.5,0.16305,5,NA,2024-02-05
"River Lark; Burgh St B1079, Grundisburgh",1.15 pm,NA,NA,NA,Sunny periods,NA,NA,1,0.44,0.143484,3,NA,2024-02-05
River Lark; Boot Street upstream 12m,1.20 pm,NA,NA,NA,Sunny periods; dry,NA,NA,8,0.88,0.286968,2,NA,2024-02-05
River Lark; Boot St outfall,1.25 pm,NA,NA,NA,Sunny periods,NA,NA,More than 350,20.9,6.81549,0,NA,2024-02-05
River Lark; Boot St 12m downstream,1.22 pm,NA,NA,NA,Sunny periods; dry,NA,NA,11,0.9,0.29349000000000003,2,NA,2024-02-05
River Lark; Boot Street Bridge,1.15 pm,privately.musically.fewest,NA,NA,Sunny periods; dry,NA,NA,9,0.87,0.283707,3,NA,2024-02-05
Martlesham Sluice: River Fynn,4.15 pm,NA,NA,NA,Cloudy but dry,Almost stagnant,Sluice closed,9,0,0,5,NA,2024-02-05
Martlesham Creek STW outfall,4.00 pm,NA,NA,NA,Cloudy and windy,Strong from outfall,Low tide,More than 350,23.3,7.59813,20,NA,2024-02-05
Woodbridge Tide Mill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-05
Wilford Bridge,5.00 pm,vital.briskly.different,NA,NA,Cloudy and windy,Slow,Tide coming in,7,0.3,0.09783,3,NA,2024-02-05
Ufford Upper Pool,12.25 pm,blending.anguished.asterisk,NA,NA,Sunny periods; dry,Slow,Clear,3,0.55,0.179355,3,NA,2024-02-05
Ufford Lower Pool,12.30 pm,slid.bookshop.widgets,NA,NA,Sunny periods,Fast,Clear,3,0.38,0.123918,7,NA,2024-02-05
Rendlesham Weir,NA,diggers.grumbles.birthing,NA,NA,NA,NA,NA,5,0.88,0.286968,5,NA,2024-02-05
Rendlesham STW outfall,NA,spill.facelift. feasting,NA,NA,NA,NA,NA,67,13.1,4.27191,10,NA,2024-02-05
Rendlesham Ford,NA,systems.hockey.traffic,NA,NA,NA,NA,NA,5,0.51,0.166311,5,NA,2024-02-05
Wickham Market White Bridges,11.00 am,haggle.questions.reminder,NA,NA,Sunny periods,Fast,Clear,9,0.28,0.091308,2,NA,2024-02-05
Wickham Market A12 bridge (downstream),11.15 am,decking.regard.reputable,NA,NA,Sunny periods,Steady,Cloudy,12,0.63,0.205443,2,NA,2024-02-05
Wickham Market STW outfall,10.45 am,looms.loudly.behave,NA,NA,Sunny periods,Fast from outfall,Clear,180,20.4,6.6524399999999995,20,NA,2024-02-05
Wickham Market Spring Lane (upstream),10.30 am,daylight.configure.cotton,NA,NA,Sunny periods,Slow,Cloudy,10,0.22,0.071742,3,NA,2024-02-05
Glavering Bridge,10.15 am,NA,NA,NA,Sunny periods,Steady,Cloudy,8,0.36,0.117396,3,NA,2024-02-05
Easton Field (downstream),"10,05 am",swift.nips.banana,NA,NA,Sunny periods,Slow,Cloudy,2,0.79,0.257619,2,NA,2024-02-05
Easton STW outfall,10.00am,ruins.outward.crackled,NA,NA,Sunny periods,Fast,Clear,91,9.9,3.22839,10,NA,2024-02-05
Easton Bridge (upstream,9.45 am,flick.hunt.toast,NA,NA,Sunny periods,Fast,Clear,7,0.37,0.120657,2,NA,2024-02-05
Debenham SP13 Downstream of STW outfall,9.30,NA,NA,NA,sunny,steady,clear,92,2.5,0.81525,top 0  next 5,0.06,2024-02-05
Debenham At point of STW outlet pipe,10.00,NA,NA,NA,sunny,steady,clear,109,2.23,0.727203,top 0  next 5,0.05,2024-02-05
Debenham SP12  Just above STW outfall,9.30,NA,NA,NA,sunny,slow,clear,116,0.39,0.127179,top 0  next 5,0,2024-02-05
Debenham SP 11 Upstream from STW,9.30,NA,NA,NA,sunny,slow,clear,134,0.4,0.13044,top 0  next 5,0.04,2024-02-05
Debenham SP8 Kenton Road Bridge/ Thorpe Lane,9.40,swimsuits wheels ripples,NA,NA,sunny,steady,clear,159,0.29,0.094569,top 0  next 5,0.06,2024-02-05
Debenham SP 7 Ipswich Road/ Thorpe Lane,9.30,modem slap input,NA,NA,sunny,slow,clear,16,0.75,0.244575,top 0  next 5,0.05,2024-02-05
Debenham SP6 Kenton Road Bridge,9.45,fuzzy foreheads custom,NA,NA,sunny,slow-steady,clear,83,0.3,0.09783,top 0  next 5,0,2024-02-05
Debenham SP5 Priory Road Bridge,9.30,compress ever shelters,NA,NA,sunny,slow,clear,40,0.27,0.088047,top 0  next 5,0.06,2024-02-05
Debenham SP4 Water Lane Ford,9.30,salary boomer viewer,NA,NA,sunny,slow-steady,clear,38,0.29,0.094569,top 0  next 5,0.04,2024-02-05
Debenham SP3 Footbridge Chancery Lane Aspall Road,9.40,emulating fondest league,NA,NA,sunny,slow,clear,35,0.26,0.084786,top 0  next 5,0.03,2024-02-05
Debenham SP2 Corner Bridge Chancery / Brook Lane,9.30,radar snored drummers,NA,NA,sunny,slow-steady,clear,4,0.1,0.03261,top 0  next 5,0,2024-02-05
Debenham 1 Brook Lane Corner Bridge,9.30,riots headset enable,NA,NA,sunny,slow,clear,65,0.38,0.123918,top 0  next 5,0.02,2024-02-05
"The Green, Grundisburgh",2.32 pm,salon.charge.winner,15cm,NA,Sunny periods,NA,NA,1,0.27,0.08802,10,NA,2024-03-04
"River Lark; Burgh St B1079, Grundisburgh",2.43 pm,verge.drop.fake,NA,NA,Sunny periods; dry,Fast,Cloudy,3,0.31,0.10106,10,NA,2024-03-04
River Lark; Boot Street upstream 12m,4.14 pm,curly.annoys.mooring,NA,NA,Sunny; part cloud; fine,Fast,Cloudy,5,0.46,0.14996,NA,NA,2024-03-04
River Lark; Boot St outfall,4.17 pm,entire.imposes.publisher,NA,NA,Sunny periods,Fast,Cloudy,150 +,6.6,2.1516,50,NA,2024-03-04
River Lark; Boot St 12m downstream,4.17 pm,rebounded.minivans.consented,NA,NA,Sunny periods,Fast,Cloudy,8,0.47,0.15322,25,NA,2024-03-04
River Lark; Boot Street Bridge,4.18 pm,privately.musically.fewest,NA,NA,Sunny periods,Fast,Cloudy,7,0.44,0.14344,10,NA,2024-03-04
Playford Bridge,2.56 pm,NA,NA,NA,Sunny periods,NA,NA,16,0.24,0.07824,50,NA,2024-03-04
Little Bealings Bridge,3.07 pm,NA,NA,NA,Sunny periods,NA,NA,6,0.3,0.0978,10,NA,2024-03-04
Red Lion Bridge Martlesham,4.30 pm,NA,100cm,30cm,Sunny periods,Slow,Cloudy,12,0.33,0.10758,NA,NA,2024-03-04
Martlesham Sluice: River Fynn,4.45 pm,glitz.howler.restores,NA,NA,Sunny periods; dry,Sluice closed,Cloudy,3,0.25,0.0815,NA,NA,2024-03-04
Kirton Sluice,3rd March; 15.45,NA,100 cm +,30cm,Cloudy ; dry,Very slow/ static,High tide; sluice closed,0,2.9,0.9454,NA,NA,2024-03-04
Waldringfield Beach,3rd March; 16.30,NA,75cm,30cm,Cloudy; dry,Slow,High tide,1,0.21,0.06846,NA,NA,2024-03-04
Kyson Point,5.10 pm,NA,NA,NA,NA,Slow,High tide,12,0.61,0.19886,NA,NA,2024-03-04
Martlesham Creek STW outfall,4.50 pm,query.operated.unsecured,NA,NA,NA,NA,Cloudy,54,2.2,0.7172,NA,NA,2024-03-04
Woodbridge Tide Mill,4.15 pm,NA,100cm+,30cm,Cloud with some sun,Static,Cloudy,6,0.23,0.07498,NA,NA,2024-03-04
Woodbridge Lime Kiln Quay,4.00 pm,NA,25cm,15cm,Cloud with some sun,Static,Cloudy,21,0.24,0.07824,NA,NA,2024-03-04
Melton Sluice South Farm,3.45 pm,NA,75cm,30cm,Cloud with some sun,High tide; sluice closed,Cloudy,7,0.23,0.07498,NA,NA,2024-03-04
Melton Sluice South  No 2,3.40 pm,NA,75cm,30cm,Cloud with some sun,High tide; sluice closed,Cloudy,7,0.2,0.0652,NA,NA,2024-03-04
Wilford Bridge,3.10 pm,vital.briskly.different,NA,NA,Cloudy,Slow against tide,Cloudy,5,0.18,0.05868,NA,NA,2024-03-04
Ufford Upper Pool,10.00 am,blending.anguished.asterisk,75cm,30cm,Sunny periods; dry,Fast,Cloudy,8,0.1,0.0326,NA,NA,2024-03-04
Ufford Lower Pool,10.00 am,slid.bookshop.widgets,75cm,35cm,Sunny periods,Fast,Cloudy,8,0.4,0.1304,NA,NA,2024-03-04
Byng Brook Bridge,10.15 am,NA,50cm,35cm,Sunny periods; dry,Slow,Cloudy,5,0.24,0.07824,NA,NA,2024-03-04
Rendlesham Weir,9.15 am,diggers.grumbles.birthing,108cm,35 cm,Sunny,2 mph - slow,Cloudy,7,0.23,0.07498,NA,NA,2024-03-04
Rendlesham STW outfall,9.45 am,spill.facelift. feasting,85cm,35cm,Sunny periods,Very slow/ static,Cloudy,4,1.9,0.6194,NA,NA,2024-03-04
Rendlesham Ford,9.58 am,systems.hockey.traffic,NA,NA,NA,Very slow/ static,NA,8,0.13,0.04238,NA,NA,2024-03-04
Wickham Market White Bridges,11.55 am,making.whirlwind.thinker,NA,NA,Partial cloud; fine,Fast,Cloudy,11,0.26,0.08476,NA,NA,2024-03-04
Wickham Market A12 bridge (downstream),11.30 am,decking.regard.reputable,NA,NA,Partial cloud; fine,Slow,Cloudy; high level of river,15,0.61,0.19886,NA,NA,2024-03-04
Wickham Market STW outfall,11.18 am,looms.loudly.behave,NA,NA,Partial cloud; fine,Moderate,Cloudy,Ca 200,7.5,2.445,NA,NA,2024-03-04
Wickham Market Spring Lane (upstream),11.00 am,daylight.configure.cotton,NA,NA,Partial cloud; fine,Moderate,Cloudy,10,0.29,0.09454,NA,NA,2024-03-04
Glavering Bridge,10..45 am,tweed.combos.pickles,NA,NA,Partial cloud; fine,Fast,Cloudy,4,0.22,0.07172,NA,NA,2024-03-04
Potsford Brook Charfield downstream of STW,12.30 pm,NA,15cm,15cm,Sunny periods,Fast,Clear over pebbles,16,0.29,0.09454,NA,NA,2024-03-04
Potsford Brook Charfield Upstream of STW,12.15 pm,NA,50cm,30cm,Sunny periods,Slow,Cloudy,4,0.17,0.05542,NA,NA,2024-03-04
Charfiled farm culvert outfall into Brook,12.20 pm,NA,50cm,30cm,Sunny periods,Fast over pebbles,Cloudy,10,0.68,0.22168,NA,NA,2024-03-04
Easton Field (downstream),10.33 am,swift.nips.banana,75cm cm,30 cm,Sunny; part cloud; fine,NA,Cloudy,10,0.36,0.11736,NA,NA,2024-03-04
Easton STW outfall,10.30 am,ruins.outward.crackled,NA,Outfall,Sunny periods,NA,Cloudy,ca 300,5.6,1.8256,NA,NA,2024-03-04
Easton Bridge (upstream),10.10 am,flick.hunt.toast,100cm,30 cm,Sunny periods,Fast,Cloudy,5,0.16,0.05216,NA,NA,2024-03-04
debenham 14,Monday 3rd 8.20am,prosper mandolin confetti,60cm,30cm,dry sunny,steady/fast,clear,370+,2.6,0.8476,NA,0.04,2024-03-04
Debenham 13 Downstream from CSO,Monday 3rd 8.35am,pretty. needed. chill,40cm,30cm,dry sunny,steady/fast,clear,38,0.41,0.13366,NA,0.26,2024-03-04
12 Debenham,NOT DONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-04
Debenham11 Upstream from STW,Monday 3rd 8.00am,attaching. runners.presses,75cm,30cm,dry sunny,steady/slow,clear,5,0.31,0.10106,NA,0.26,2024-03-04
Debenham 8 Kenton Road Bridge/ Thorpe Lane,9.55am,swimsuits wheels ripples,25cm,25cm,dry sunny,steady,clear,11,0.13,0.04238,NA,0,2024-03-04
Debenham 7 Ipswich Road/ Thorpe Lane,9.50am,modem slap input,35-40cm,30cm,dry sunny,slow/steady,clear,8,0.62,0.20212,5,0.74,2024-03-04
Debenham 6 Kenton Road Bridge,9.30,fuzzy foreheads custom,35cm,30cm,dry sunny,steady,clear,3,0.15,0.0489,5,0.04,2024-03-04
Debenham 5 Priory Road Bridge,9.15,compress ever shelters,30,30,dry sunny,steady,clear,14,0.11,0.03586,5,0,2024-03-04
Debenham 4 Water Lane Ford,9.05,salary boomer viewer,30,30,dry sunny,steady,clear,7,0.11,0.03586,5,0,2024-03-04
Debenham 3 Footbridge Chancery Lane Aspall Road,9.25,emulating fondest league,35cm,30,dry sunny,gentle,clear,2,0.15,0.0489,NA,0.08,2024-03-04
Debenham 2 Corner Bridge Chancery / Brook Lane,9.20,radar snored drummers,20cm,15cm,dry sunny,gentle,clear,1,0.09,0.02934,NA,0.05,2024-03-04
Debenham 1 Brook Lane Corner Bridge,9.15,riots headset enable,35,30,dry sunny,gentle,clear,18,0.27,0.08802,10,0.08,2024-03-04
"The Green, Grundisburgh",3.10 pm,salon.charge.winner,15cm,NA,Sunny periods,Slow flow,Clear,3,NA,NA,10,NA,2024-04-02
"River Lark; Burgh St B1079, Grundisburgh",3.35 pm,verge.drop.fake,NA,NA,Sunny periods,Very slow flow,Clear,2,NA,NA,5,NA,2024-04-02
River Lark; Boot Street upstream 12m,6.45 pm,curly.annoys.mooring,NA,NA,Cloudy,Slow stream,Fairly clear,29,1.25,0.407625,10,NA,2024-04-02
River Lark; Boot St outfall,6.47 pm,entire.imposes.publisher,From outfall,NA,Cloudy,Outfall above river level,Murky,ca 400,12.6,4.10886,100,1.94,2024-04-02
River Lark; Boot St 12m downstream,6.43 pm,rebounded.minivans.consented,NA,NA,Cloudy,Slow flow,Fairly clear,34,1.1,0.35871,50,NA,2024-04-02
River Lark; Boot Street Bridge,6.40 pm,privately.musically.fewest,NA,NA,Cloudy,Slow flow,Clear,31,NA,NA,10,NA,2024-04-02
Playford Bridge,3.56 pm,blog.maker.rots,NA,NA,Cloudy,Very slow,Fairly clear,18,NA,NA,10,NA,2024-04-02
Little Bealings Bridge,4.08 pm,taxpayers.caked.reverted,NA,NA,Cloudy,Very slow,Fairly clear,94,0.3,0.09783,70,NA,2024-04-02
Red Lion Bridge Martlesham,Monday 1st April 4.30 pm,rungs.repelled.engaging,100cm,30cm,Sunny periods,Slow flowing,Mildly cloudy,4,NA,NA,NA,NA,2024-04-02
Martlesham Sluice: River Fynn,Monday 1st April 4.40 pm,glitz.howler.restores,100 cm +,30cm,Sunny periods,No flow,Scum on water,3,NA,NA,NA,NA,2024-04-02
Kirton Sluice Seaward,6.05 pm,wobbles.birdcage.soon,100cm +,30cm,Cloudy,High tide,Cloudy,0,NA,NA,NA,NA,2024-04-02
Kirton Sluice Landward,6.10 pm,wobbles.birdcage.soon,100 cm +,30cm,Cloudy,Static/ sluice closed,Brackish and clear,0,NA,NA,NA,0.06,2024-04-02
Waldringfield Beach,5.40 pm,denim.excusing.storm,75cm,30cm,Sunny periods,High tide,Clear,0,NA,NA,NA,NA,2024-04-02
Kyson Point,Monday 1st April 5.05 pm,kicks.strictest.aly,NA,NA,Sunny periods,High tide,Clear,0,NA,NA,NA,NA,2024-04-02
Martlesham Creek STW outfall,Monday 1st April 4.48 pm,query.operated.unsecured,Direct from outfall,NA,Sunny periods,Almost high tide,Clear,ca350,8.2,2.67402,50,5.89,2024-04-02
Woodbridge Houseboats Charter Marine,5.10 pm,reservoir.tens.bicker,50cm+,30cm,Sunny periods,High tide,"Cloudy, scum on surface",0,NA,NA,NA,NA,2024-04-02
Woodbridge Tide Mill,5.10 pm,unsecured.paving.refutes,100cm+,30cm,Sunny periods,Tide coming in,Clear,0,NA,NA,NA,NA,2024-04-02
Woodbridge Lime Kiln Quay,5.00 pm,sandpaper.producing.slimming,50com,25cm,Sunny periods,Tide coming in,Cloudy and smelly,NA,NA,NA,NA,NA,2024-04-02
Melton Sluice South Farm,10.40 am,dockers.effort.daring,50cm,25cm,Sunny periods,Tide out fast from outfall,Clear,0,NA,NA,NA,NA,2024-04-02
Melton Sluice South  No 2,Not done,NA,75cm,30cm,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-02
Wilford Bridge,6.50 pm,vital.briskly.different,100cm+,30cm,Cloudy,Slow/ tide going out,Clear,5,NA,NA,NA,NA,2024-04-02
Ufford Upper Pool,10.50 am,blending.anguished.asterisk,75cm,30cm,NA,NA,NA,1,NA,NA,NA,NA,2024-04-02
Ufford Lower Pool,10.55 am,slid.bookshop.widgets,75cm,35cm,NA,NA,NA,0,NA,NA,NA,NA,2024-04-02
Byng Brook Bridge,NOT DONE,NA,50cm,35cm,NA,NA,NA,0,NA,NA,NA,NA,2024-04-02
Rendlesham Weir,9.30 am,diggers.grumbles.birthing,108cm,35 cm,Sunny periods,Medium flow,Clear,0,NA,NA,NA,NA,2024-04-02
Rendlesham STW outfall,9.17 am,spill.facelift. feasting,Direct from outfall,NA,Sunny periods,Fast flowing,Clear,18,21.2,6.91332,NA,NA,2024-04-02
Rendlesham Ford,9.22 am,systems.hockey.traffic,50cm,30cm,Sunny periods,Medium flow,Clear,4,NA,NA,NA,NA,2024-04-02
Wickham Market White Bridges,11.34 am,making.whirlwind.thinker,100cm,30mm,Partly cloudy,Normal,Clear,6,NA,NA,NA,NA,2024-04-02
Wickham Market A12 bridge (downstream),12.05 am,decking.regard.reputable,100cm,30cm,Partly cloudy,Norma,Clear,37,0.6,0.19566,NA,NA,2024-04-02
Wickham Market STW outfall,11.55 am,looms.loudly.behave,Direct from outfall,NA,Partly cloudy,Normal,Clear,ca350,23.4,7.63074,NA,2.06,2024-04-02
Wickham Market Spring Lane (upstream),12.15 am,daylight.configure.cotton,100cm +,30cm,Partly cloudy,Normal,Clear,11,NA,NA,NA,NA,2024-04-02
Glavering Bridge S2,10.50 am,tweed.combos.pickles,100cm+,30cm,Sunny periods,Fast flowing,Clear,24,0.07,0.022827,NA,NA,2024-04-02
Potsford Brook circa one mile downstream,Thursday 4th April pm,plan.video.ships,50cm,30cm,Sunny,Steady,NA,67,NA,NA,NA,NA,2024-04-02
Potsford Brook Charfield downstream of STW,10.15 am,headless.starring.necks,15cm,15cm,Sunny periods,Slow flow,Cloudy,ca 500,15.6,5.08716,NA,NA,2024-04-02
Potsford Brook Charfield STW outfall,10.20 am,listings.cutlets.twinkling,Direct from outfall,Direct from outfall,Sunny periods,Steady flow from outfall,Cloudy and smelly,ca 700,15.8,5.15238,50,3.19,2024-04-02
Potsford Brook Charfield Bridge,9.55 am,boss.situation.roots,Less than 30cm,15cm,Sunny periods,Very slow,Clear,0,NA,NA,NA,NA,2024-04-02
Charfiled farm culvert outfall into Brook,Not done; no flow,singers.tightrope.farmed,50cm,30cm,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-02
Easton Field (downstream),9.25 am,swift.nips.banana,75cm,30 cm,Cloudy/ light rain,Slow/ steady,Cloudy,26,NA,NA,NA,NA,2024-04-02
Easton STW outfall,9.30 am,trooper.poodle.cleanser,Direct from outfall,Outfall,Cloudy/ light rain,Steady outface,Clear but smelly,ca 800,13.8,4.50018,10,40.3,2024-04-02
Easton Bridge (upstream),9.15 am,flick.hunt.toast,100cm,30 cm,Cloudy/ light rain,Fast flowing,Clear,8,NA,NA,NA,NA,2024-04-02
debenham 14,Tuesday 2nd April 9.35,prosper mandolin confetti,from outlet pipe,from outlet flow,drizzling,slow,clear,61,5,1.6305,250,0.25,2024-04-02
Debenham 13 Downstream from CSO,9.45,pretty. needed. chill,12cm,12m,drizzling,very very slow,clear,19,2.42,0.789162,25,0.02,2024-04-02
12 Debenham,NOT DONE,NA,NA,NA,drizzling/ clear spells,NA,NA,NA,NA,NA,NA,NA,2024-04-02
Debenham11 Upstream from STW,9.30,attaching. runners.presses,30cm,30cm,drizzling/ clear spells,very slow,clear,15,0.23,0.075003,10,0.17,2024-04-02
Debenham 8 Kenton Road Bridge/ Thorpe Lane,10am,swimsuits wheels ripples,5cm,5cm,drizzling/ clear spells,very slow,clear,1,0.08,0.026088,25,0.05,2024-04-02
