Term from original excel,R analysis name,R label name,Description
Location Description ,Location_Description,,
Sample Date and Time           ,Sample_Date_and_Time,,
what3words location ///           ,what3words_location,,
Approx River Depth at Sample Point cm ,Approx_River_Depth_at_Sample_Point_cm,,
Sampling Depth cm estimated ,Sampling_Depth_cm_estimated,,
Weather Conditions ,Weather_Conditions,,
River Flow (subjective viz… fast to very slow ,River_Flow,,
River state (subjective viz. clear to muddy; signs of pollution/ excess weed etc.),River_state,,
E coli count Colonies per 1ml ,E_coli_count_Colonies_per_1ml,,
Phosphate PO4 mg/l ,Phosphate_PO4_mgpL,,
Phosphate P mg/l ,Phosphate_P_mgpL,,
Nitrate ppm,Nitrate_ppm,,
Ammonia ppm,Ammonia_ppm,,